superkingdom,RefSeq_number
Bacteria,GCF_000208405.1_ASM20840v1
Bacteria,GCF_000210895.1_ASM21089v1
Bacteria,GCF_000211855.2_ASM21185v3
Bacteria,GCF_000212335.1_ASM21233v1
Bacteria,GCF_000212355.1_ASM21235v1
Bacteria,GCF_000212375.1_ASM21237v1
Bacteria,GCF_000212395.1_ASM21239v1
Bacteria,GCF_000212415.1_ASM21241v1
Bacteria,GCF_000212675.2_ASM21267v2
Bacteria,GCF_000212695.1_ASM21269v1
Bacteria,GCF_000213255.1_ASM21325v1
Bacteria,GCF_000213655.1_ASM21365v1
Bacteria,GCF_000214175.1_ASM21417v1
Bacteria,GCF_000214215.1_ASM21421v1
Bacteria,GCF_000214395.1_ASM21439v1
Bacteria,GCF_000214665.1_ASM21466v1
Bacteria,GCF_000214825.1_ASM21482v1
Bacteria,GCF_000215065.1_ASM21506v1
Bacteria,GCF_000215085.1_ASM21508v1
Bacteria,GCF_000215105.1_ASM21510v1
Bacteria,GCF_000215745.1_ASM21574v1
Bacteria,GCF_000215975.1_ASM21597v1
Bacteria,GCF_000217655.1_ASM21765v1
Bacteria,GCF_000217795.1_ASM21779v1
Bacteria,GCF_000217815.1_ASM21781v1
Bacteria,GCF_000218545.1_ASM21854v1
Bacteria,GCF_000218565.1_ASM21856v1
Bacteria,GCF_000218625.1_ASM21862v1
Bacteria,GCF_000219535.2_ASM21953v3
Bacteria,GCF_000219725.1_ASM21972v1
Bacteria,GCF_000219805.1_ASM21980v1
Bacteria,GCF_000219875.1_ASM21987v1
Bacteria,GCF_000219915.2_ASM21991v3
Bacteria,GCF_000220625.1_ASM22062v1
Bacteria,GCF_000222485.1_ASM22248v1
Bacteria,GCF_000223215.1_ASM22321v1
Bacteria,GCF_000224005.2_ASM22400v3
Bacteria,GCF_000224085.1_ASM22408v1
Bacteria,GCF_000225955.1_ASM22595v1
Bacteria,GCF_000226565.1_ASM22656v1
Bacteria,GCF_000226625.1_ASM22662v1
Bacteria,GCF_000227665.2_ASM22766v3
Bacteria,GCF_000227685.2_ASM22768v3
Bacteria,GCF_000227705.2_ASM22770v3
Bacteria,GCF_000227745.2_ASM22774v3
Bacteria,GCF_000230555.1_ASM23055v1
Bacteria,GCF_000230695.2_ASM23069v3
Bacteria,GCF_000230975.2_ASM23097v3
Bacteria,GCF_000230995.2_ASM23099v3
Bacteria,GCF_000231385.2_ASM23138v3
Bacteria,GCF_000231405.2_ASM23140v3
Bacteria,GCF_000233715.2_ASM23371v3
Bacteria,GCF_000233775.1_ASM23377v1
Bacteria,GCF_000233915.3_ASM23391v4
Bacteria,GCF_000235605.1_ASM23560v1
Bacteria,GCF_000236645.1_ASM23664v1
Bacteria,GCF_000236665.1_ASM23666v1
Bacteria,GCF_000236685.1_ASM23668v1
Bacteria,GCF_000236705.1_ASM23670v1
Bacteria,GCF_000237145.1_ASM23714v1
Bacteria,GCF_000237205.1_ASM23720v1
Bacteria,GCF_000237285.1_ASM23728v1
Bacteria,GCF_000240075.2_ASM24007v2
Bacteria,GCF_000241585.2_ASM24158v3
Bacteria,GCF_000242595.2_ASM24259v3
Bacteria,GCF_000242635.2_ASM24263v3
Bacteria,GCF_000242935.2_ASM24293v3
Bacteria,GCF_000243075.1_ASM24307v1
Bacteria,GCF_000243135.2_ASM24313v3
Bacteria,GCF_000243155.2_ASM24315v3
Bacteria,GCF_000247565.1_ASM24756v1
Bacteria,GCF_000247605.1_ASM24760v1
Bacteria,GCF_000247715.1_ASM24771v1
Bacteria,GCF_000250675.2_ASM25067v3
Bacteria,GCF_000252955.1_ASM25295v1
Bacteria,GCF_000252995.1_ASM25299v1
Bacteria,GCF_000253035.1_ASM25303v1
Bacteria,GCF_000253115.1_ASM25311v1
Bacteria,GCF_000253295.1_ASM25329v1
Bacteria,GCF_000255115.2_ASM25511v3
Bacteria,GCF_000255135.1_ASM25513v1
Bacteria,GCF_000255295.1_ASM25529v1
Bacteria,GCF_000255535.1_ASM25553v1
Bacteria,GCF_000258405.1_ASM25840v1
Bacteria,GCF_000260925.1_ASM26092v1
Bacteria,GCF_000260965.1_ASM26096v1
Bacteria,GCF_000261045.2_ASM26104v2
Bacteria,GCF_000262305.1_ASM26230v1
Bacteria,GCF_000263795.2_Hint_PBC
Bacteria,GCF_000264765.2_ASM26476v2
Bacteria,GCF_000264945.2_ASM26494v2
Bacteria,GCF_000265205.3_ASM26520v2
Bacteria,GCF_000265295.1_ASM26529v1
Bacteria,GCF_000265365.1_ASM26536v1
Bacteria,GCF_000265385.1_ASM26538v1
Bacteria,GCF_000265405.1_ASM26540v1
Bacteria,GCF_000265425.1_ASM26542v1
Bacteria,GCF_000265465.1_ASM26546v1
Bacteria,GCF_000265505.1_ASM26550v1
Bacteria,GCF_000266885.1_ASM26688v1
Bacteria,GCF_000266925.1_ASM26692v1
Bacteria,GCF_000266945.1_ASM26694v1
Bacteria,GCF_000269945.1_ASM26994v1
Bacteria,GCF_000269985.1_ASM26998v1
Bacteria,GCF_000270085.1_ASM27008v1
Bacteria,GCF_000270125.2_ASM27012v2
Bacteria,GCF_000270225.1_ASM27022v1
Bacteria,GCF_000270245.1_ASM27024v1
Bacteria,GCF_000270285.1_ASM27028v1
Bacteria,GCF_000271325.1_ASM27132v1
Bacteria,GCF_000271665.2_ASM27166v2
Bacteria,GCF_000276685.1_ASM27668v1
Bacteria,GCF_000279145.1_ASM27914v1
Bacteria,GCF_000280925.3_ASM28092v3
Bacteria,GCF_000281175.1_ASM28117v1
Bacteria,GCF_000283535.1_ASM28353v1
Bacteria,GCF_000283575.1_ASM28357v1
Bacteria,GCF_000283615.1_ASM28361v1
Bacteria,GCF_000283975.1_ASM28397v1
Bacteria,GCF_000284015.1_ASM28401v1
Bacteria,GCF_000284035.1_ASM28403v1
Bacteria,GCF_000284095.1_ASM28409v1
Bacteria,GCF_000284115.1_ASM28411v1
Bacteria,GCF_000284255.1_ASM28425v1
Bacteria,GCF_000284275.1_ASM28427v1
Bacteria,GCF_000284295.1_ASM28429v1
Bacteria,GCF_000284315.1_ASM28431v1
Bacteria,GCF_000284335.1_ASM28433v1
Bacteria,GCF_000284355.1_ASM28435v1
Bacteria,GCF_000284455.1_ASM28445v1
Bacteria,GCF_000284515.1_ASM28451v1
Bacteria,GCF_000284615.1_ASM28461v1
Bacteria,GCF_000287215.2_ASM28721v3
Bacteria,GCF_000287355.1_ASM28735v1
Bacteria,GCF_000297055.2_ASM29705v2
Bacteria,GCF_000299115.1_ASM29911v1
Bacteria,GCF_000299335.2_ASM29933v2
Bacteria,GCF_000299435.1_ASM29943v1
Bacteria,GCF_000299965.1_ASM29996v1
