AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_003856835.1	660522	GCF_003856835.1	ASM385683v1	Haloplanus aerogenes (euryarchaeotes)	660522	Haloplanus aerogenes	GCA_003856835.1GCF_003856835.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus aerogenes
GCF_000144915.1	666510	GCF_000144915.1	ASM14491v1	Acidilobus saccharovorans 345-15 (crenarchaeotes)	242703	Acidilobus saccharovorans	GCA_000144915.1GCF_000144915.1identical	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
GCF_000327505.1	673860	GCF_000327505.1	ASM32750v1	Aciduliprofundum sp. MAR08-339 (euryarchaeotes)	673860	Aciduliprofundum sp. MAR08-339	GCA_000327505.1GCF_000327505.1identical	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum sp. MAR08-339
GCF_000217995.1	679901	GCF_000217995.1	ASM21799v1	Methanosalsum zhilinae DSM 4017 (euryarchaeotes)	39669	Methanosalsum zhilinae	GCA_000217995.1GCF_000217995.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Methanosalsum zhilinae
GCF_000147875.1	679926	GCF_000147875.1	ASM14787v1	Methanolacinia petrolearia DSM 11571 (euryarchaeotes)	54120	Methanolacinia petrolearia	GCA_000147875.1GCF_000147875.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia
GCF_000009965.1	69014	GCF_000009965.1	ASM996v1	Thermococcus kodakarensis KOD1 (euryarchaeotes)	311400	Thermococcus kodakarensis	GCA_000009965.1GCF_000009965.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis
GCF_000194625.1	693661	GCF_000194625.1	ASM19462v1	Archaeoglobus veneficus SNP6 (euryarchaeotes)	58290	Archaeoglobus veneficus	GCA_000194625.1GCF_000194625.1identical	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus
GCF_000223395.1	694429	GCF_000223395.1	ASM22339v1	Pyrolobus fumarii 1A (crenarchaeotes)	54252	Pyrolobus fumarii	GCA_000223395.1GCF_000223395.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii
GCF_000328685.1	694430	GCF_000328685.1	ASM32868v1	Natronococcus occultus SP4 (euryarchaeotes)	29288	Natronococcus occultus	GCA_000328685.1GCF_000328685.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronococcus	Natronococcus occultus
GCF_005890195.1	69527	GCF_005890195.1	ASM589019v1	Natrinema pallidum (euryarchaeotes)	69527	Natrinema pallidum	GCA_005890195.1GCF_005890195.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pallidum
GCF_000813245.1	697581	GCF_000813245.1	ASM81324v1	Thermofilum carboxyditrophus 1505 (crenarchaeotes)	1365176	Thermofilum adornatus	GCA_000813245.1GCF_000813245.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum carboxyditrophus
GCF_004799685.1	699433	GCF_004799685.1	ASM479968v1	Halobellus limi (euryarchaeotes)	699433	Halobellus limi	GCA_004799685.1GCF_004799685.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus limi
GCF_000011105.1	70601	GCF_000011105.1	ASM1110v1	Pyrococcus horikoshii OT3 (euryarchaeotes)	53953	Pyrococcus horikoshii	GCA_000011105.1GCF_000011105.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
GCF_002214385.1	71997	GCF_002214385.1	ASM221438v1	Thermococcus gorgonarius (euryarchaeotes)	71997	Thermococcus gorgonarius	GCA_002214385.1GCF_002214385.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gorgonarius
GCF_002214485.1	71998	GCF_002214485.1	ASM221448v1	Thermococcus pacificus (euryarchaeotes)	71998	Thermococcus pacificus	GCA_002214485.1GCF_002214485.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus pacificus
GCF_002214505.1	72803	GCF_002214505.1	ASM221450v1	Thermococcus siculi (euryarchaeotes)	72803	Thermococcus siculi	GCA_002214505.1GCF_002214505.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus siculi
GCF_002156705.1	745377	GCF_002156705.1	ASM215670v1	Natronolimnobius aegyptiacus (euryarchaeotes)	745377	Natronolimnobius aegyptiacus	GCA_002156705.1GCF_002156705.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnobius	Natronolimnobius aegyptiacus
GCF_002078355.1	74969	GCF_002078355.1	ASM207835v1	Ferroplasma acidiphilum (euryarchaeotes)	74969	Ferroplasma acidiphilum	GCA_002078355.1GCF_002078355.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidiphilum
GCF_000230955.2	751944	GCF_000230955.2	ASM23095v3	Halobacterium sp. DL1 (euryarchaeotes)	751944	Halobacterium sp. DL1	GCA_000230955.3GCF_000230955.2identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp. DL1
GCF_002906575.1	755307	GCF_002906575.1	ASM290657v1	Salinigranum rubrum (euryarchaeotes)	755307	Salinigranum rubrum	GCA_002906575.1GCF_002906575.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum	Salinigranum rubrum
GCF_000224475.1	756883	GCF_000224475.1	ASM22447v1	halophilic archaeon DL31 (euryarchaeotes)	756883	halophilic archaeon DL31	GCA_000224475.1GCF_000224475.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	NA	NA	halophilic archaeon DL31
GCF_000186365.1	765177	GCF_000186365.1	ASM18636v1	Desulfurococcus mucosus DSM 2162 (crenarchaeotes)	2275	Desulfurococcus mucosus	GCA_000186365.1GCF_000186365.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus
