AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_001719125.1	1891280	GCF_001719125.1	ASM171912v1	Sulfolobus sp. A20 (crenarchaeotes)	1891280	Sulfolobus sp. A20	GCA_001719125.1GCF_001719125.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus sp. A20
GCF_002156965.1	1898749	GCF_002156965.1	ASM215696v1	Candidatus Nitrosomarinus catalina (archaea)	1898749	Candidatus Nitrosomarinus catalina	GCA_002156965.1GCF_002156965.1identical	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosomarinus	Candidatus Nitrosomarinus catalina
GCF_002813675.1	1911685	GCF_002813675.1	ASM281367v1	Methanobacterium sp. MZ-A1 (euryarchaeotes)	1911685	Methanobacterium sp. MZ-A1	GCA_002813675.1GCF_002813675.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MZ-A1
GCF_002214165.1	1920749	GCF_002214165.1	ASM221416v1	Candidatus Mancarchaeum acidiphilum (archaea)	1920749	Candidatus Mancarchaeum acidiphilum	GCA_002214165.1GCF_002214165.1identical	Archaea	Candidatus Micrarchaeota	NA	NA	NA	Candidatus Mancarchaeum	Candidatus Mancarchaeum acidiphilum
GCF_000007065.1	192952	GCF_000007065.1	ASM706v1	Methanosarcina mazei Go1 (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000007065.1GCF_000007065.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_002844335.1	1932004	GCF_002844335.1	ASM284433v1	Haloarcula taiwanensis (euryarchaeotes)	1932004	Haloarcula taiwanensis	GCA_002844335.1GCF_002844335.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula taiwanensis
GCF_001989615.1	1932360	GCF_001989615.1	ASM198961v1	Halorientalis sp. IM1011 (euryarchaeotes)	1932360	Halorientalis sp. IM1011	GCA_001989615.1GCF_001989615.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis sp. IM1011
GCF_000585495.1	195522	GCF_000585495.1	ASM58549v1	Thermococcus nautili (euryarchaeotes)	195522	Thermococcus nautili	GCA_000585495.1GCF_000585495.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus nautili
GCF_002197185.1	2008440	GCF_002197185.1	ASM219718v1	Thermococcus sp. 5-4 (euryarchaeotes)	2008440	Thermococcus sp. 5-4	GCA_002197185.1GCF_002197185.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 5-4
GCF_900198835.1	2016361	GCF_900198835.1	chr_EXT12c	Thermococcus sp. EXT12c (euryarchaeotes)	2016361	Thermococcus sp. EXT12c	GCA_900198835.1GCF_900198835.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. EXT12c
GCF_003430825.1	2044521	GCF_003430825.1	ASM343082v1	Natronolimnobius sp. AArc1 (euryarchaeotes)	2044521	Natronolimnobius sp. AArc1	GCA_003430825.1GCF_003430825.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnobius	Natronolimnobius sp. AArc1
GCF_002906215.1	2045011	GCF_002906215.1	ASM290621v1	Candidatus Nitrosocaldus islandicus (archaea)	2045011	Candidatus Nitrosocaldus islandicus	GCA_002906215.1GCF_002906215.1identical	Archaea	Thaumarchaeota	Nitrososphaeria	Candidatus Nitrosocaldales	Candidatus Nitrosocaldaceae	Candidatus Nitrosocaldus	Candidatus Nitrosocaldus islandicus
GCF_002952775.1	2055893	GCF_002952775.1	ASM295277v1	archaeon AArc-Sl (archaea)	2055893	archaeon AArc-Sl	GCA_002952775.1GCF_002952775.1identical	Archaea	NA	NA	NA	NA	NA	archaeon AArc-Sl
GCF_003430805.1	2086290	GCF_003430805.1	ASM343080v1	Natronolimnobius sp. AArc-Mg (euryarchaeotes)	2086290	Natronolimnobius sp. AArc-Mg	GCA_003430805.1GCF_003430805.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnobius	Natronolimnobius sp. AArc-Mg
GCF_000970205.1	213585	GCF_000970205.1	ASM97020v1	Methanosarcina mazei S-6 (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000970205.1GCF_000970205.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_000762265.1	2162	GCF_000762265.1	ASM76226v1	Methanobacterium formicicum (euryarchaeotes)	2162	Methanobacterium formicicum	GCA_000762265.1GCF_000762265.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
GCF_001458655.1	2162	GCF_001458655.1	Mb9	Methanobacterium formicicum (euryarchaeotes)	2162	Methanobacterium formicicum	GCA_001458655.1GCF_001458655.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
GCF_000953115.1	2162	GCF_000953115.1	DSM1535	Methanobacterium formicicum (euryarchaeotes)	2162	Methanobacterium formicicum	GCA_000953115.1GCF_000953115.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
GCF_002813085.1	2173	GCF_002813085.1	ASM281308v1	Methanobrevibacter smithii (euryarchaeotes)	2173	Methanobrevibacter smithii	GCA_002813085.1GCF_002813085.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
GCF_001889405.1	2177	GCF_001889405.1	ASM188940v1	Methanohalophilus halophilus (euryarchaeotes)	2177	Methanohalophilus halophilus	GCA_001889405.1GCF_001889405.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus halophilus
GCF_004799605.1	2242	GCF_004799605.1	ASM479960v1	Halobacterium salinarum (euryarchaeotes)	2242	Halobacterium salinarum	GCA_004799605.1GCF_004799605.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
GCF_000008665.1	224325	GCF_000008665.1	ASM866v1	Archaeoglobus fulgidus DSM 4304 (euryarchaeotes)	2234	Archaeoglobus fulgidus	GCA_000008665.1GCF_000008665.1identical	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
GCF_000404165.1	224719	GCF_000404165.1	ASM40416v1	Methanobrevibacter sp. AbM4 (euryarchaeotes)	224719	Methanobrevibacter sp. AbM4	GCA_000404165.1GCF_000404165.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. AbM4
GCF_002215405.1	2285	GCF_002215405.1	ASM221540v1	Sulfolobus acidocaldarius (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_002215405.1GCF_002215405.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_002215445.1	2285	GCF_002215445.1	ASM221544v1	Sulfolobus acidocaldarius (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_002215445.1GCF_002215445.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_002215525.1	2285	GCF_002215525.1	ASM221552v1	Sulfolobus acidocaldarius (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_002215525.1GCF_002215525.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_002215565.1	2285	GCF_002215565.1	ASM221556v1	Sulfolobus acidocaldarius (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_002215565.1GCF_002215565.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_002215485.1	2285	GCF_002215485.1	ASM221548v1	Sulfolobus acidocaldarius (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_002215485.1GCF_002215485.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000968395.1	2287	GCF_000968395.1	ASM96839v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_000968395.1GCF_000968395.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_000968355.1	2287	GCF_000968355.1	ASM96835v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_000968355.1GCF_000968355.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852095.1	2287	GCF_003852095.1	ASM385209v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852095.1GCF_003852095.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_000968435.1	2287	GCF_000968435.1	ASM96843v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_000968435.1GCF_000968435.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852155.1	2287	GCF_003852155.1	ASM385215v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852155.1GCF_003852155.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852175.1	2287	GCF_003852175.1	ASM385217v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852175.1GCF_003852175.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852195.1	2287	GCF_003852195.1	ASM385219v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852195.1GCF_003852195.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_900079115.1	2287	GCF_900079115.1	SSOP1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_900079115.1GCF_900079115.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852135.1	2287	GCF_003852135.1	ASM385213v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852135.1GCF_003852135.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_003852215.1	2287	GCF_003852215.1	ASM385221v1	Saccharolobus solfataricus (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_003852215.1GCF_003852215.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_001477655.1	230361	GCF_001477655.1	ASM147765v1	Methanobrevibacter millerae (euryarchaeotes)	230361	Methanobrevibacter millerae	GCA_001477655.1GCF_001477655.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter millerae
GCF_000091665.1	243232	GCF_000091665.1	ASM9166v1	Methanocaldococcus jannaschii DSM 2661 (euryarchaeotes)	2190	Methanocaldococcus jannaschii	GCA_000091665.1GCF_000091665.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
GCF_000151205.2	246969	GCF_000151205.2	ASM15120v2	Thermococcus sp. AM4 (euryarchaeotes)	246969	Thermococcus sp. AM4	GCA_000151205.2GCF_000151205.2identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. AM4
GCF_004114375.1	2497325	GCF_004114375.1	ASM411437v1	Halorubrum sp. BOL3-1 (euryarchaeotes)	2497325	Halorubrum sp. BOL3-1	GCA_004114375.1GCF_004114375.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. BOL3-1
GCF_004087835.1	2505977	GCF_004087835.1	ASM408783v1	Halorussus sp. RC-68 (euryarchaeotes)	2505977	Halorussus sp. RC-68	GCA_004087835.1GCF_004087835.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Halorussus sp. RC-68
GCF_006740685.1	2508726	GCF_006740685.1	ASM674068v1	Candidatus Nitrosopumilus sp. SW (archaea)	2508726	Candidatus Nitrosopumilus sp. SW	GCA_006740685.1GCF_006740685.1identical	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sp. SW
GCF_005155585.1	2572921	GCF_005155585.1	ASM515558v1	Haloprofundus sp. MHR1 (euryarchaeotes)	2572921	Haloprofundus sp. MHR1	GCA_005155585.1GCF_005155585.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloprofundus	Haloprofundus sp. MHR1
GCF_005954745.1	2583824	GCF_005954745.1	ASM595474v1	Halostella sp. DL-M4 (euryarchaeotes)	2583824	Halostella sp. DL-M4	GCA_005954745.1GCF_005954745.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella sp. DL-M4
GCF_006274605.1	2586643	GCF_006274605.1	ASM627460v1	Thermococcus sp. IOH1 (euryarchaeotes)	2586643	Thermococcus sp. IOH1	GCA_006274605.1GCF_006274605.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. IOH1
GCF_000013725.1	259564	GCF_000013725.1	ASM1372v1	Methanococcoides burtonii DSM 6242 (euryarchaeotes)	29291	Methanococcoides burtonii	GCA_000013725.1GCF_000013725.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii
GCF_000008265.1	263820	GCF_000008265.1	ASM826v1	Picrophilus torridus DSM 9790 (euryarchaeotes)	82076	Picrophilus torridus	GCA_000008265.1GCF_000008265.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus
GCF_000011585.1	267377	GCF_000011585.1	ASM1158v1	Methanococcus maripaludis S2 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000011585.1GCF_000011585.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000591055.1	268739	GCF_000591055.1	ASM59105v1	Natronomonas moolapensis 8.8.11 (euryarchaeotes)	416273	Natronomonas moolapensis	GCA_000591055.1GCF_000591055.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas moolapensis
GCF_000195895.1	269797	GCF_000195895.1	ASM19589v1	Methanosarcina barkeri str. Fusaro (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_000195895.1GCF_000195895.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000011085.1	272569	GCF_000011085.1	ASM1108v1	Haloarcula marismortui ATCC 43049 (euryarchaeotes)	2238	Haloarcula marismortui	GCA_000011085.1GCF_000011085.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui
GCF_005310945.1	272569	GCF_005310945.1	ASM531094v1	Haloarcula marismortui ATCC 43049 (euryarchaeotes)	2238	Haloarcula marismortui	GCA_005310945.1GCF_005310945.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui
GCF_000195935.2	272844	GCF_000195935.2	ASM19593v2	Pyrococcus abyssi GE5 (euryarchaeotes)	29292	Pyrococcus abyssi	GCA_000195935.2GCF_000195935.2identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi
GCF_000007005.1	273057	GCF_000007005.1	ASM700v1	Saccharolobus solfataricus P2 (crenarchaeotes)	2287	Saccharolobus solfataricus	GCA_000007005.1GCF_000007005.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
GCF_000011205.1	273063	GCF_000011205.1	ASM1120v1	Sulfurisphaera tokodaii str. 7 (crenarchaeotes)	111955	Sulfurisphaera tokodaii	GCA_000011205.1GCF_000011205.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfurisphaera	Sulfurisphaera tokodaii
GCF_000195915.1	273075	GCF_000195915.1	ASM19591v1	Thermoplasma acidophilum DSM 1728 (euryarchaeotes)	2303	Thermoplasma acidophilum	GCA_000195915.1GCF_000195915.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum
GCF_000011185.1	273116	GCF_000011185.1	ASM1118v1	Thermoplasma volcanium GSS1 (euryarchaeotes)	50339	Thermoplasma volcanium	GCA_000011185.1GCF_000011185.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium
GCF_002214545.1	277988	GCF_002214545.1	ASM221454v1	Thermococcus thioreducens (euryarchaeotes)	277988	Thermococcus thioreducens	GCA_002214545.1GCF_002214545.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus thioreducens
GCF_002355655.1	29284	GCF_002355655.1	ASM235565v1	Halorubrum trapanicum (euryarchaeotes)	29284	Halorubrum trapanicum	GCA_002355655.1GCF_002355655.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum trapanicum
GCF_001563245.1	294671	GCF_001563245.1	ASM156324v1	Methanobrevibacter olleyae (euryarchaeotes)	294671	Methanobrevibacter olleyae	GCA_001563245.1GCF_001563245.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter olleyae
GCF_000011005.1	304371	GCF_000011005.1	ASM1100v1	Methanocella paludicola SANAE (euryarchaeotes)	570267	Methanocella paludicola	GCA_000011005.1GCF_000011005.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella paludicola
GCF_000025685.1	309800	GCF_000025685.1	ASM2568v1	Haloferax volcanii DS2 (euryarchaeotes)	2246	Haloferax volcanii	GCA_000025685.1GCF_000025685.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax volcanii
GCF_000013445.1	323259	GCF_000013445.1	ASM1344v1	Methanospirillum hungatei JF-1 (euryarchaeotes)	2203	Methanospirillum hungatei	GCA_000013445.1GCF_000013445.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei
GCF_000012285.1	330779	GCF_000012285.1	ASM1228v1	Sulfolobus acidocaldarius DSM 639 (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_000012285.1GCF_000012285.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000152265.2	333146	GCF_000152265.2	ASM15226v2	Ferroplasma acidarmanus fer1 (euryarchaeotes)	97393	Ferroplasma acidarmanus	GCA_000152265.2GCF_000152265.2identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus
GCF_004126515.1	337243	GCF_004126515.1	ASM412651v1	Halorubrum ezzemoulense (euryarchaeotes)	337243	Halorubrum ezzemoulense	GCA_004126515.1GCF_004126515.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense
GCF_000012545.1	339860	GCF_000012545.1	ASM1254v1	Methanosphaera stadtmanae DSM 3091 (euryarchaeotes)	2317	Methanosphaera stadtmanae	GCA_000012545.1GCF_000012545.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae
GCF_000016385.1	340102	GCF_000016385.1	ASM1638v1	Pyrobaculum arsenaticum DSM 13514 (crenarchaeotes)	121277	Pyrobaculum arsenaticum	GCA_000016385.1GCF_000016385.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
GCF_000211475.1	342949	GCF_000211475.1	ASM21147v1	Pyrococcus sp. NA2 (euryarchaeotes)	342949	Pyrococcus sp. NA2	GCA_000211475.1GCF_000211475.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. NA2
GCF_000026045.1	348780	GCF_000026045.1	ASM2604v1	Natronomonas pharaonis DSM 2160 (euryarchaeotes)	2257	Natronomonas pharaonis	GCA_000026045.1GCF_000026045.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis
GCF_000063445.1	351160	GCF_000063445.1	ASM6344v1	Methanocella arvoryzae MRE50 (euryarchaeotes)	1175445	Methanocella arvoryzae	GCA_000063445.1GCF_000063445.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella arvoryzae
GCF_001190965.1	35746	GCF_001190965.1	ASM119096v1	Haloferax gibbonsii (euryarchaeotes)	35746	Haloferax gibbonsii	GCA_001190965.1GCF_001190965.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax gibbonsii
GCF_000226975.2	358396	GCF_000226975.2	ASM22697v3	Halobiforma lacisalsi AJ5 (euryarchaeotes)	229731	Halobiforma lacisalsi	GCA_000226975.3GCF_000226975.2identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	Halobiforma lacisalsi
GCF_000009185.1	362976	GCF_000009185.1	ASM918v1	Haloquadratum walsbyi DSM 16790 (euryarchaeotes)	293091	Haloquadratum walsbyi	GCA_000009185.1GCF_000009185.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
GCF_000015825.1	368407	GCF_000015825.1	ASM1582v1	Methanoculleus marisnigri JR1 (euryarchaeotes)	2198	Methanoculleus marisnigri	GCA_000015825.1GCF_000015825.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus marisnigri
GCF_000015225.1	368408	GCF_000015225.1	ASM1522v1	Thermofilum pendens Hrk 5 (crenarchaeotes)	2269	Thermofilum pendens	GCA_000015225.1GCF_000015225.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum pendens
GCF_000019605.1	374847	GCF_000019605.1	ASM1960v1	Candidatus Korarchaeum cryptofilum OPF8 (archaea)	498846	Candidatus Korarchaeum cryptofilum	GCA_000019605.1GCF_000019605.1identical	Archaea	Candidatus Korarchaeota	NA	NA	NA	Candidatus Korarchaeum	Candidatus Korarchaeum cryptofilum
GCF_000015205.1	384616	GCF_000015205.1	ASM1520v1	Pyrobaculum islandicum DSM 4184 (crenarchaeotes)	2277	Pyrobaculum islandicum	GCA_000015205.1GCF_000015205.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum
GCF_000385565.1	387631	GCF_000385565.1	ASM38556v1	Archaeoglobus sulfaticallidus PM70-1 (euryarchaeotes)	1316941	Archaeoglobus sulfaticallidus	GCA_000385565.1GCF_000385565.1identical	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus
GCF_002945325.1	39152	GCF_002945325.1	ASM294532v1	Methanococcus maripaludis (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_002945325.1GCF_002945325.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_003052125.1	39152	GCF_003052125.1	ASM305212v1	Methanococcus maripaludis (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_003052125.1GCF_003052125.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000151105.2	391623	GCF_000151105.2	ASM15110v2	Thermococcus barophilus MP (euryarchaeotes)	55802	Thermococcus barophilus	GCA_000151105.2GCF_000151105.2identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus
GCF_000018305.1	397948	GCF_000018305.1	ASM1830v1	Caldivirga maquilingensis IC-167 (crenarchaeotes)	76887	Caldivirga maquilingensis	GCA_000018305.1GCF_000018305.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis
GCF_000016605.1	399549	GCF_000016605.1	ASM1660v1	Metallosphaera sedula DSM 5348 (crenarchaeotes)	43687	Metallosphaera sedula	GCA_000016605.1GCF_000016605.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
GCF_000015945.1	399550	GCF_000015945.1	ASM1594v1	Staphylothermus marinus F1 (crenarchaeotes)	2280	Staphylothermus marinus	GCA_000015945.1GCF_000015945.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus
GCF_000016125.1	402880	GCF_000016125.1	ASM1612v1	Methanococcus maripaludis C5 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000016125.1GCF_000016125.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000017165.1	406327	GCF_000017165.1	ASM1716v1	Methanococcus vannielii SB (euryarchaeotes)	2187	Methanococcus vannielii	GCA_000017165.1GCF_000017165.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii
GCF_000281695.1	406552	GCF_000281695.1	ASM28169v1	Natrinema sp. J7-2 (euryarchaeotes)	406552	Natrinema sp. J7-2	GCA_000281695.1GCF_000281695.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema sp. J7-2
